seed,scenario,n_players,game_length,terminated_by_cap,n_winners,winner_ids,gini_final,hhi_final,n_bankruptcies,first_bankruptcy_turn,social_mobility,capital_formation,wealth_min,wealth_max,wealth_mean,wealth_sd,rent_burden_mean
249060,Baseline,4,200,TRUE,3,"1,3,4",0.355889857537742,0.35969387755102,1,65,2,137,0,2115,1175.75,885.775507676748,0.0104791666666667
249061,Baseline,4,189,FALSE,1,1,0.75,1,3,137,8,114,0,756,189,378,0.0142526315789474
249062,Baseline,4,146,FALSE,1,2,0.75,1,3,124,9,51,0,4218,1054.5,2109,0.0122873563218391
249063,Baseline,4,184,FALSE,1,2,0.75,1,3,71,14,98,0,2475,618.75,1237.5,0.00839153439153439
249064,Baseline,4,200,TRUE,4,"1,2,3,4",0.140340909090909,0.262755102040816,0,,8,86,1100,2179,1540,464.091226664184,0.00967878787878788
249065,Baseline,4,133,FALSE,1,1,0.75,1,3,93,9,42,0,2031,507.75,1015.5,0.0113188405797101
249066,Baseline,4,200,TRUE,4,"1,2,3,4",0.163765182186235,0.262755102040816,0,,16,118,630,1697,1235,443.586143456563,0.00986111111111111
249067,Baseline,4,200,TRUE,4,"1,2,3,4",0.0809203722854188,0.25765306122449,0,,12,109,855,1355,1208.75,238.165733611422,0.00958823529411765
249068,Baseline,4,200,TRUE,2,"3,4",0.521553610503282,0.515570934256055,2,129,14,60,0,2482,1142.5,1329.01504882375,0.0165185185185185
249069,Baseline,4,200,TRUE,2,"1,4",0.589819700967458,0.591836734693878,3,86,7,148,0,3091,1137,1472.64546536723,0.0108571428571429
249070,Baseline,4,114,FALSE,1,4,0.75,1,4,74,11,77,0,3430,857.5,1715,0.0142814814814815
249071,Baseline,4,134,FALSE,1,3,0.75,1,3,76,4,66,0,1966,491.5,983,0.0122631578947368
249072,Baseline,4,200,TRUE,3,"1,3,4",0.352104061327679,0.410150891632373,1,113,4,69,0,2488,1532.75,1171.06771082347,0.0120286738351254
249073,Baseline,4,200,TRUE,4,"1,2,3,4",0.120913461538462,0.267857142857143,0,,6,79,1228,2129,1560,412.989911095497,0.00904575163398693
249074,Baseline,4,142,FALSE,1,2,0.75,1,3,106,10,57,0,3929,982.25,1964.5,0.00910382513661202
249075,Baseline,4,147,FALSE,1,4,0.75,1,3,68,12,51,0,3303,825.75,1651.5,0.0111111111111111
249076,Baseline,4,136,FALSE,1,3,0.687655860349127,0.82,3,88,16,73,0,1404,401,675.280682383259,0.00790666666666667
249077,Baseline,4,200,TRUE,4,"1,2,3,4",0.168905742145179,0.288265306122449,0,,21,74,1395,3230,2307.5,806.410358729764,0.0112538226299694
249078,Baseline,4,200,TRUE,4,"1,2,3,4",0.152402826855124,0.283163265306122,0,,3,78,1341,2656,1768.75,617.377450727403,0.00879761904761905
249079,Baseline,4,200,TRUE,3,"1,3,4",0.311656829679595,0.336734693877551,1,85,5,91,0,1825,1186,828.830903542253,0.0098015873015873
249080,Baseline,4,143,FALSE,1,4,0.75,1,3,89,14,96,0,3589,897.25,1794.5,0.00762962962962963
249081,Baseline,4,164,FALSE,1,4,0.75,1,3,113,4,46,0,5146,1286.5,2573,0.0121181434599156
249082,Baseline,4,111,FALSE,1,1,0.75,1,3,82,6,35,0,3643,910.75,1821.5,0.010162962962963
249083,Baseline,4,200,TRUE,2,"3,4",0.55952380952381,0.547337278106509,2,76,7,134,0,2652,1071,1304.90919224289,0.00934108527131783
249084,Baseline,4,200,TRUE,4,"1,2,3,4",0.215234375,0.25765306122449,0,,16,57,1057,2861,1600,846.076040711866,0.00870588235294118
249085,Baseline,4,142,FALSE,1,3,0.75,1,3,76,14,106,0,4437,1109.25,2218.5,0.0108444444444444
249086,Baseline,4,130,FALSE,1,4,0.712935507783543,1,3,72,8,55,0,2498,674.5,1219.31715863156,0.00962962962962963
249087,Baseline,4,200,TRUE,2,"1,4",0.492209194692996,0.56786703601108,2,158,10,123,0,1766,810.25,849.900533395918,0.0150544217687075
249088,Baseline,4,200,TRUE,4,"1,2,3,4",0.20660091047041,0.255102040816327,0,,8,67,1096,2819,1647.5,797.314032653801,0.01322
249089,Baseline,4,117,FALSE,1,4,0.75,1,3,74,10,50,0,3044,761,1522,0.0111914893617021
